Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X02481,Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,,,5G6,CHERRY SPRINGS,Non-Fatal,Substantial,Airplane,N25084,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1983-01-02 00:00:00
20020917X02339,Accident,MIA82DA028,1982-01-02,"MIAMI, FL",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,N23BS,Smith,WCS-222 (BELL 47G),No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1983-01-02 00:00:00
20020917X01894,Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,,,YIP,WILLOW RUN,Non-Fatal,Substantial,Airplane,N68812,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1983-01-02 00:00:00
20020917X01776,Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,,,49G,TINKERBELL,Non-Fatal,Substantial,Airplane,N1549Q,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1983-01-02 00:00:00
20020917X01657,Accident,ATL82DA027,1982-01-02,"CHAMBLEE, GA",United States,,,PDK,Unknown,Non-Fatal,Substantial,Helicopter,N5745Y,Bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Rocky Mountain Helicopters, In",0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1983-01-02 00:00:00
20020917X02333,Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Incident,Minor,Airplane,N5018P,Piper,PA-24-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1983-01-03 00:00:00
20020917X02255,Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,,,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N28912,Grumman,AA-5B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,1.0,0.0,0.0,IMC,Descent,Probable Cause,1983-01-03 00:00:00
20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,,,Unknown,HANOVER COUNTY,Fatal(8),Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1983-01-03 00:00:00
20020917X01720,Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,,,SOP,MOORE COUNTY,Fatal(1),Destroyed,Airplane,N10VS,Beechcraft,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1983-01-03 00:00:00
20020917X02483,Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,,,HPN,WESTCHESTER COUNTY,Non-Fatal,Substantial,Airplane,N7125D,Maule,M-5-235C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1983-01-03 00:00:00
20020917X02340,Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N94252,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Descent,Probable Cause,1983-01-03 00:00:00
20020917X02155,Accident,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N8630V,Bellanca,7GCBC,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,1983-01-03 00:00:00
20020917X01992,Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,,,Unknown,OAK GROVE,Non-Fatal,Substantial,Airplane,N71054,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,1983-01-03 00:00:00
20020917X01960,Accident,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N23069,Air Tractor,AT-301,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1983-01-03 00:00:00
20020917X02618,Accident,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,,,Unknown,Unknown,Fatal(4),Destroyed,Airplane,N8265A,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1983-01-04 00:00:00
20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,,,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N1956H,Piper,PA-34-200T,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Lang Air Service,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1983-01-04 00:00:00
20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,,,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N2CU,Cessna,T337G,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,2.0,0.0,0.0,IMC,Cruise,Probable Cause,1983-01-04 00:00:00
20020917X01991,Accident,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,,,E92,ESTANCIA MUNICIPAL,Non-Fatal,Substantial,Airplane,N32335,Piper,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,1983-01-04 00:00:00
20020917X02410,Accident,MIA82FKA05,1982-01-04,SAINT CROIX,,,,STX,ALEXANDER HAMILTON,Fatal(1),Destroyed,Airplane,N5151U,Cessna,206,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,1.0,0.0,1.0,0.0,VMC,Taxi,Probable Cause,1983-01-04 00:00:00
20020917X02304,Accident,LAX82FUM06,1982-01-05,"RAMONA, CA",United States,,,L39,RAMONA,Fatal(3),Destroyed,Airplane,N4520K,Navion,A,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,3.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1983-01-05 00:00:00
20020917X02253,Accident,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,,,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N4696Z,Piper,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1983-01-05 00:00:00
20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,,,Unknown,TOMPKINS COUNTY,Fatal(2),Destroyed,Airplane,N546BA,Piper,PA-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Empire Airlines,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,1983-01-05 00:00:00
20020917X01764,Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,,,Unknown,Unknown,Incident,Minor,Airplane,N5782N,Rockwell,114,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1983-01-05 00:00:00
20020917X01993,Accident,FTW82DA037,1982-01-05,"LONOKE, AR",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N5304P,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,1.0,0.0,1.0,VMC,Descent,Probable Cause,1983-01-05 00:00:00
20020917X01658,Accident,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,,,0A6,Unknown,Non-Fatal,Substantial,Airplane,N2139T,Piper,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1983-01-05 00:00:00
20020917X02156,Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,,,Q35,SPRINGERVILLE,Non-Fatal,Substantial,Airplane,N738XP,Cessna,TR182,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Joel Frederick's Monarch Air,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1983-01-05 00:00:00
20020917X01651,Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,,,BET,BETHEL,Non-Fatal,Substantial,Airplane,N3343S,Cessna,A185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Executive Charter Service,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,1983-01-05 00:00:00
20020917X02423,Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,,,K07,DOWNTOWN,Non-Fatal,Substantial,Airplane,N2672A,Cessna,340,Yes,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,1983-01-06 00:00:00
20020917X02157,Accident,LAX82DA039,1982-01-06,"MAMMOTH LAKES, CA",United States,,,MMH,MAMMOTH LAKES,Non-Fatal,Substantial,Helicopter,N608RA,Aerospatiale,SA-316B,No,1.0,Turbo Shaft,Part 91: General Aviation,,Business,,0.0,0.0,0.0,6.0,VMC,Taxi,Probable Cause,1983-01-06 00:00:00
20020917X01913,Accident,DEN82DA015,1982-01-06,"JACKSON, WY",United States,,,Unknown,JACKSON HOLE,Non-Fatal,Substantial,Airplane,N8070Q,Beech,35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,1983-01-06 00:00:00
20020917X01777,Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,,,1C1,PAXTON MUNICIPAL,Non-Fatal,Substantial,Airplane,N4900L,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1983-01-06 00:00:00
20020917X01757,Accident,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N201NH,Mooney,M-20J,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1983-01-06 00:00:00
20020917X02242,Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N59737,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause,1983-01-06 00:00:00
20020917X01964,Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,,,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N9763X,Cessna,210,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Robert R. Hylton,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1983-01-07 00:00:00
20020917X01659,Accident,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,,,2W2,CLEARVIEW,Non-Fatal,Substantial,Airplane,N117P,Beech,V35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1983-01-07 00:00:00
20020917X02141,Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,,,LRD,LAREDO INTL,Non-Fatal,Substantial,Airplane,N1698M,Curtis,C46,No,2.0,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",NSCH,Unknown,,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause,1983-01-07 00:00:00
20020917X02414,Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,,,X41,W. PASCO,Fatal(1),Destroyed,Airplane,N80264,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,1983-01-08 00:00:00
20020917X01881,Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,,,PHO,HARRY CLEVER FIELD,Fatal(1),Destroyed,Airplane,N207CB,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,1983-01-08 00:00:00
20020917X02574,Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,,,PUW,PULLMAN-MOSCOW REGIONAL,Non-Fatal,Substantial,Airplane,N6106U,Cessna,TU206G,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1983-01-08 00:00:00
20020917X02484,Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N46681,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1983-01-08 00:00:00
20020917X02431,Accident,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,,,Unknown,MITHELL,Non-Fatal,Substantial,Airplane,N7618P,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1983-01-08 00:00:00
20020917X01779,Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,,,3MY,MOUNT HAWLEY,Non-Fatal,Substantial,Airplane,N6265P,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1983-01-08 00:00:00
20020917X01778,Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,,,SKY,GRIFFING-SANDUSKY,Non-Fatal,Substantial,Airplane,N737LH,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1983-01-08 00:00:00
20020917X01717,Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,,,SC42,TWIN LAKES,Non-Fatal,Substantial,Airplane,N25225,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1983-01-08 00:00:00
20020917X02247,Accident,LAX82DVG13,1982-01-09,"CALISTOGA, CA",United States,,,Unknown,CALISTOGA,Non-Fatal,Substantial,Glider,N10UP,Schleicher,ASW 20,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1983-01-09 00:00:00
20020917X02246,Accident,LAX82DVG12,1982-01-09,"NAPA, CA",United States,,,Unknown,NAPA,Non-Fatal,Substantial,Airplane,N731NZ,Cessna,P210N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,3.0,VMC,Landing,Probable Cause,1983-01-09 00:00:00
20020917X01995,Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,,,Unknown,PRIVATE STRIP,Non-Fatal,Substantial,Airplane,N7355A,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1983-01-09 00:00:00
20020917X01994,Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,,,DWH,DAVID WAYNE HOOKS,Non-Fatal,Substantial,Airplane,N55489,Piper,PA-34,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,1983-01-09 00:00:00
20020917X02283,Accident,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,,,Unknown,DILLINGHAM,Non-Fatal,Substantial,Airplane,N5639V,Cessna,305 (L-19),No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1983-01-09 00:00:00
20020917X01981,Accident,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,,,SBS,ROUTT CITY,Non-Fatal,Substantial,Airplane,N2195G,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1983-01-09 00:00:00
20020917X02341,Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,,,Unknown,LOWERY DAVIS,Non-Fatal,Destroyed,Airplane,N567V,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,1983-01-10 00:00:00
20020917X02158,Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,,,P06,BULLHEAD CITY,Non-Fatal,Destroyed,Airplane,N2753J,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,1983-01-10 00:00:00
20020917X01882,Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,,,PWK,PALWAUKEE,Non-Fatal,Destroyed,Airplane,N6995Y,Piper,23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,1983-01-10 00:00:00
20020917X01719,Accident,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,,,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N3688N,Mooney,M20G,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,1983-01-10 00:00:00
20020917X02305,Accident,LAX82FUQ07,1982-01-10,"MOJAVE, CA",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N2644Q,Cessna,TU206F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,4.0,0.0,VMC,Landing,Probable Cause,1983-01-10 00:00:00
20020917X02289,Accident,LAX82FUG05,1982-01-10,"UPLAND, CA",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N234Q,Quickie,1,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1983-01-10 00:00:00
20020917X01623,Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,,,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N756YN,Cessna,U206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Tri-city Air Service,0.0,0.0,3.0,0.0,VMC,Cruise,Probable Cause,1983-01-10 00:00:00
20020917X01985,Accident,DEN82FTI10,1982-01-11,"NEAR BOZEMAN, MT",United States,,,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N7273J,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,1.0,0.0,VMC,Cruise,Probable Cause,1983-01-11 00:00:00
20020917X01965,Accident,DEN82FA017,1982-01-11,"RIVERTON, WY",United States,,,Unknown,RIVERTON REGIONAL,Fatal(4),Destroyed,Airplane,N6558A,Cessna,210N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,1.0,1.0,0.0,IMC,Takeoff,Probable Cause,1983-01-11 00:00:00
20020917X01982,Accident,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,,,28V,COCHETOPA,Non-Fatal,Substantial,Airplane,N2332C,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1983-01-11 00:00:00
20020917X01715,Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,,,AVO,AUBURN/OPELIKA,Non-Fatal,Substantial,Airplane,N424VW,Cessna,310L,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1983-01-11 00:00:00
20020917X01897,Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE INTER'L,Incident,,Airplane,N31031,Lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,149.0,UNK,Cruise,Probable Cause,1983-01-12 00:00:00
20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,1983-01-12 00:00:00
20020917X01750,Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,,,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N7706,Cessna,414,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,0.0,UNK,Descent,Probable Cause,1983-01-12 00:00:00
